"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,20.0228176116943
22.704451583391,22.7012195587158
25.7746060851273,25.7715702056885
29.2599147970374,31.696496963501
33.2165159421741,33.2173461914062
37.7081388989014,37.7096557617188
42.8071306964945,42.8117370605469
48.5956213161225,48.5959815979004
55.1668465668354,55.1672706604004
62.6266498442538,62.6262474060059
71.0951869609421,71.0931015014648
80.7088615083421,80.7073822021484
91.6225219233381,91.622184753418
104.011955647831,104.00365447998
118.076720554999,118.068962097168
134.043359248328,134.037994384766
152.169048006438,152.176300048828
172.745739147644,172.752853393555
196.104863535738,196.109359741211
222.622668970734,222.619888305664
252.726280450565,252.728942871094
286.900579917018,286.898345947266
325.696016298637,325.705993652344
369.737471647787,369.733154296875
419.734326179629,419.752532958984
476.491884331632,476.48291015625
540.924345884314,540.945922851562
614.069531070393,614.056030273437
697.105596851168,697.091857910156
791.370013610912,791.381652832031
898.381107928822,898.393615722656
1019.86251842016,1019.85766601562
1157.77095855928,1157.76513671875
1314.32773366327,1314.27551269531
1492.05451968329,1492.06018066406
1693.81398009645,1693.765625
1922.85587511853,1922.88171386719
2182.86940592338,2182.81469726562
2478.04263698265,2477.97998046875
2813.12995364755,2813.13671875
3193.52864151889,3193.66259765625
3625.36582107691,3625.34228515625
4115.59713783606,4115.63232421875
4672.11879763707,4672.18603515625
5303.8947516401,5304.02001953125
6021.10107960072,6021.3955078125
6835.28989702489,6835.55615234375
7759.57542627217,7759.8291015625
8808.84522867335,8808.73046875
9999.99999999995,9999.595703125

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.48568666545099
22.704451583391,0.471038073403702
25.7746060851273,0.432889241122496
29.2599147970374,0.394196765720569
33.2165159421741,0.340085219724886
37.7081388989014,0.276777126371349
42.8071306964945,0.199563733892432
48.5956213161225,0.102257335882299
55.1668465668354,0.00281063366213685
62.6266498442538,-0.0984132554380575
71.0951869609421,-0.212931545786656
80.7088615083421,-0.32384564129184
91.6225219233381,-0.415345326838328
104.011955647831,-0.472670510702827
118.076720554999,-0.47615459209691
134.043359248328,-0.408802689342246
152.169048006438,-0.261185806230918
172.745739147644,-0.065089392397099
196.104863535738,0.0844962405555519
222.622668970734,0.0604779002580235
252.726280450565,-0.180000235117548
286.900579917018,-0.523458063552323
325.696016298637,-0.739331186717927
369.737471647787,-0.644466783822557
419.734326179629,-0.399831901341385
476.491884331632,-0.513160206052797
540.924345884314,-0.855227621578569
614.069531070393,-0.758711931852902
697.105596851168,-0.657332154423014
791.370013610912,-0.969077763220651
898.381107928822,-0.755251633623218
1019.86251842016,-1.02535865073962
1157.77095855928,-0.866880662691247
1314.32773366327,-1.04604515941056
1492.05451968329,-1.15296438198746
1693.81398009645,-1.16881248630682
1922.85587511853,-1.23706088567627
2182.86940592338,-1.37206110271979
2478.04263698265,-1.51364481226315
2813.12995364755,-1.58635235970659
3193.52864151889,-1.8705872766939
3625.36582107691,-2.11521495311472
4115.59713783606,-2.43776341126741
4672.11879763707,-2.80221060942223
5303.8947516401,-3.30654001550231
6021.10107960072,-3.89133535040531
6835.28989702489,-4.58122023041418
7759.57542627217,-5.4763203874659
8808.84522867335,-6.40900265161172
9999.99999999995,-7.55154599437301

