"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
100,95.367431640625,95.367431640625
102.353102189903,104.904174804687,104.904174804687
104.761575278966,104.904174804687,104.904174804687
107.226722201032,104.904174804687,104.904174804687
109.749876549306,114.44091796875,114.44091796875
112.332403297803,114.44091796875,114.44091796875
114.975699539774,114.44091796875,114.44091796875
117.6811952435,114.44091796875,114.44091796875
120.450354025878,123.977661132812,123.977661132812
123.284673944207,123.977661132812,123.977661132812
126.185688306602,123.977661132812,123.977661132812
129.154966501488,133.514404296875,133.514404296875
132.194114846603,133.514404296875,133.514404296875
135.304777457981,133.514404296875,133.514404296875
138.488637139387,143.051147460938,143.051147460938
141.74741629268,143.051147460938,143.051147460938
145.082877849594,143.051147460938,143.051147460938
148.496826225446,152.587890625,152.587890625
151.991108295293,152.587890625,152.587890625
155.567614393047,152.587890625,152.587890625
159.228279334109,162.124633789062,162.124633789062
162.975083462064,162.124633789062,162.124633789062
166.810053720006,162.124633789062,162.124633789062
170.735264747069,171.661376953125,171.661376953125
174.752840000768,171.661376953125,171.661376953125
178.864952905743,181.198120117187,181.198120117187
183.073828029537,181.198120117187,181.198120117187
187.381742286038,190.73486328125,190.73486328125
191.791026167249,190.73486328125,190.73486328125
196.304065004027,200.271606445312,200.271606445312
200.923300256504,200.271606445312,200.271606445312
205.651230834865,209.808349609375,209.808349609375
210.490414451202,209.808349609375,209.808349609375
215.443469003188,219.345092773438,219.345092773438
220.513073990304,219.345092773438,219.345092773438
225.701971963391,228.8818359375,228.8818359375
231.012970008315,228.8818359375,228.8818359375
236.44894126454,238.418579101563,238.418579101563
242.012826479438,238.418579101563,238.418579101563
247.70763559917,247.955322265625,247.955322265625
253.536449397011,257.492065429687,257.492065429687
259.502421139973,257.492065429687,257.492065429687
265.608778294668,267.02880859375,267.02880859375
271.858824273293,276.565551757813,276.565551757813
278.255940220712,276.565551757813,276.565551757813
284.803586843579,286.102294921875,286.102294921875
