"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,20.012279510498
24.7798074188418,24.7848358154297
30.7019427857444,30.7064609527588
38.0394114807523,38.0395889282227
47.1304645409561,47.1301651000977
58.3941917442723,58.3953895568848
72.3498412900995,72.3516616821289
89.6407566976218,89.6422729492187
111.064034392316,111.054992675781
137.607269170061,137.604751586914
170.494081473342,170.490295410156
211.240525248087,211.232299804687
261.724976735129,261.722045898437
324.274726009868,324.281646728516
401.773263066111,401.772125244141
497.793204240895,497.775726318359
616.760986774879,616.793212890625
764.160923786817,764.154113769531
946.78802642208,946.749633789062
1173.06124806022,1173.04711914062
1453.41159087193,1453.41467285156
1800.76296610594,1800.73815917969
2231.12797535438,2231.05249023437
2764.3460778036,2764.33959960937
3424.9981723502,3424.92456054687
4243.53975603616,4243.486328125
5257.70489643875,5257.42236328125
6514.24573994269,6514.548828125
8071.08774573953,8071.25830078125
9999.99999999999,9999.9130859375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.028116814440894
24.7798074188418,0.0110600238643212
30.7019427857444,0.00816986332230994
38.0394114807523,-0.0165372470118484
47.1304645409561,-0.0407473978257487
58.3941917442723,-0.0782969073249989
72.3498412900995,-0.138943211193217
89.6407566976218,-0.229196167419765
111.064034392316,-0.375228190001819
137.607269170061,-0.561108963273201
170.494081473342,-0.846429336605179
211.240525248087,-1.25237843615905
261.724976735129,-1.86657951698644
324.274726009868,-2.66488448262355
401.773263066111,-3.61113432788723
497.793204240895,-4.82870804062101
616.760986774879,-6.18295887946252
764.160923786817,-7.71350704390937
946.78802642208,-9.34932594845294
1173.06124806022,-11.1669060984697
1453.41159087193,-13.0231542026341
1800.76296610594,-15.0457022270254
2231.12797535438,-17.1018875233813
2764.3460778036,-19.4126513723441
3424.9981723502,-21.7439742003493
4243.53975603616,-24.6432436314401
5257.70489643875,-27.6240452754517
6514.24573994269,-30.8217782002892
8071.08774573953,-35.35114090224
9999.99999999999,-40.0960791413729

